1	LMP2B	0.007976010743039576	0.0001765141395480913
2	BNRF1	0.00436482725024936	4.361889102318236e-05
3	BCRF1	0.0012925202921801246	3.043122641332764e-05
4	BCRF2	nan	nan
5	EBNA-LP	nan	nan
6	BWRF1	nan	nan
7	EBNA2	0.007368717275735838	9.209298445017986e-05
8	BHLF1	nan	nan
9	BHRF1	0.0016058608864668912	2.5236164754765522e-05
10	BFLF2	0.0033112124526188057	6.905567457251857e-05
11	BFLF1	0.004482907838617374	5.359897046901166e-05
12	BFRF1A	0.0037485451372754946	5.6909079675791775e-05
13	BFRF1	0.0040725583413375455	5.3742584105973084e-05
14	BFRF2	0.00466393225107923	5.020099754568587e-05
15	BFRF3	0.002746534344230918	6.750507802575322e-05
16	BPLF1	0.005154567094572118	5.363925407773417e-05
17	BOLF1	0.004665480494721337	5.738557176827814e-05
18	BORF1	0.005359054503222194	5.51376178261109e-05
19	BORF2	0.00431591237411648	4.4755319054682746e-05
20	BaRF1	0.001159040971573731	4.0553983312372136e-05
21	BMRF1	0.0018740423137635445	3.2177480161895284e-05
22	BMRF2	0.004179848322349742	6.303737588429415e-05
23	BMLF1	0.003377335419752039	5.384033797232232e-05
24	BSLF2_BMLF1	0.003016587069248006	5.030088952297365e-05
25	BSLF2	0.0015181824260789333	6.177965100162943e-05
26	BSLF1	0.0040872385412127	6.807213394302671e-05
27	BSRF1	0.0012598155938065283	3.816855947985698e-05
28	BLLF3	0.0025481911089557706	6.784001858871489e-05
29	BLRF1	0.0017768371156225641	4.679944500923534e-05
30	BLRF2	0.005465100546655656	9.14435612253435e-05
31	BLLF1	0.008506346261611045	0.00010828344592395612
32	BLLF2	0.010845217008862028	0.0001483442612211504
33	EBNA3A	0.008338324052764442	0.0001234864519019551
34	EBNA3B	0.008600004148298456	0.00015655807671863543
35	EBNA3C	0.011942609968128983	0.00015216330045308632
36	BZLF2	0.004367979858548535	8.001364323041099e-05
37	BZLF1	0.009008800310694684	0.000168964837000518
38	BRLF1	0.0036265627078058316	8.410024112050896e-05
39	BRRF1	0.001934604234942741	4.083180141693299e-05
40	BRRF2	0.012976967741281365	0.00012387785306294775
41	EBNA1	0.025365020892897387	0.0007595862076119726
42	BKRF2	0.004752500724079317	6.38397133263854e-05
43	BKRF3	0.00403238669725806	5.3072637375117335e-05
44	BKRF4	0.002237429975489725	3.677976496853832e-05
45	BBLF4	0.006670843126898619	6.39881132358381e-05
46	BBRF1	0.005250610868622694	5.409617221637033e-05
47	BBRF2	0.002583044604749047	4.64512210280357e-05
48	BBLF2-BBLF3	0.006640883752557045	6.88503630547747e-05
49	BBRF3	0.0031245576297948313	3.319725961273285e-05
50	BBLF1	0.006729090131257392	9.24637697102985e-05
51	BGLF5	0.004155402786127272	5.156464201824538e-05
52	BGLF4	0.002652884918390267	3.3579742870548663e-05
53	BGLF3.5	0.0009324140244677846	4.734425416478219e-05
54	BGLF3	0.004525997795904342	7.033551716398665e-05
55	BGLF2	0.0025139720253420073	3.539951567394269e-05
56	BGLF1	0.0066526169405322745	7.594770286904457e-05
57	BDLF4	0.006344607810224086	9.012761319331087e-05
58	BDLF3	0.009506382391975939	0.00013933633530158302
59	BDLF2	0.004128818112309418	5.3188085676138486e-05
60	BDLF1	0.002537623066739698	4.709424528261056e-05
61	BcLF1	0.0031813420026779115	4.762036585158972e-05
62	BcRF1	0.0019641539465791924	2.8542403691488626e-05
63	BTRF1	0.004293241109884943	6.370483904863008e-05
64	BXLF2	0.0041296812956450315	5.570252715110018e-05
65	BXLF1	0.0010851730361214039	2.593240384200223e-05
66	BXRF1	0.002525321082458203	8.200906386623966e-05
67	BVRF1	0.002370185108827634	8.61110387610873e-05
68	BVLF1	0.0021375382620893507	4.846058746684662e-05
69	BVRF2	0.0013221102252618574	2.8573244667547895e-05
70	BdRF1	0.0014792847715502427	4.392229654550229e-05
71	BILF2	0.0009188508275985522	2.527646818413216e-05
72	LF3	nan	nan
73	LF2	0.0016595940310154666	2.855107907009684e-05
74	LF1	0.004746927921100096	7.487017725715934e-05
75	RPMS1	0.004956366975116104	6.856915092780206e-05
76	BILF1	0.0013619228476933513	3.400639961188087e-05
77	BALF5	0.0038695121455112834	3.884088243159754e-05
78	BALF4	0.00434275366499174	4.4730448488044866e-05
79	A73	0.0030716138237539318	3.906268460695596e-05
80	BALF3	0.005179386709746666	4.8256987618235674e-05
81	BARF0	0.005179539603364215	5.3889414705529166e-05
82	BALF2	0.0027361930570792047	2.4994500501372885e-05
83	BALF1	0.0024293957845279547	4.45367259591418e-05
84	BARF1	0.0036844126164418934	4.236601990277689e-05
85	BNLF2b	0.008405347020670835	8.228041976572274e-05
86	BNLF2a	0.005034853146764063	0.00011856433865375907
87	LMP1	0.01867135327694034	0.00027374173844819504
