Protein	Beg	End	Reference
A73_exon1	156652	156737	NC_007605
A73_exon2	156846	156928	NC_007605
A73_exon3	158625	158751	NC_007605
A73_exon4	159781	159865	NC_007605
BGLF5	108641	110053	NC_007605
BALF3	158851	161220	NC_007605
BARF1	165046	165711	NC_007605
BBRF2	103660	104496	NC_007605
BcRF1	125177	127429	NC_007605
BCRF1	9675	10187	NC_007605
BDLF2	118839	120101	NC_007605
BDLF4	116056	116733	NC_007605
BFLF1	44660	46237	NC_007605
BFLF2	43691	44647	NC_007605
BFRF1	46603	47613	NC_007605
BFRF1A	46236	46643	NC_007605
BFRF2	47520	49295	NC_007605
BGLF1	114563	116086	NC_007605
BGLF2	113575	114585	NC_007605
BGLF3	111653	112651	NC_007605
BGLF3.5	111205	111666	NC_007605
BGLF4	110037	111326	NC_007605
BGRF1_BDRF1_exon1	112650	113585	NC_007605
BGRF1_BDRF1_exon2	116927	118063	NC_007605
BHLF1	38287	40269	NC_007605
BHRF1	42088	42663	NC_007605
BMLF1	70455	71771	NC_007605
BMRF2	68830	69903	NC_007605
BRLF1	91078	92895	NC_007605
BSLF2	71881	72000	NC_007605
BSRF1	74636	75292	NC_007605
BTRF1	127353	128627	NC_007605
BVLF1	134809	135627	NC_007605
BXRF1	132571	133317	NC_007605
BZLF1_exon1	89922	90053	NC_007605
BZLF1_exon2	90138	90242	NC_007605
BZLF1_exon3	90367	90867	NC_007605
BOLF1	59232	62951	NC_007605
BVRF2	135638	137455	NC_007605
BFRF3	49219	49749	NC_007605
BLLF3	75350	76186	NC_007605
BALF5	153241	156288	NC_007605
BMRF1	67611	68825	NC_007605
BKRF1	95662	97587	NC_007605
BYRF1	36216	37679	NC_007605
EBNA3B_exon1	83065	83421	NC_007605
EBNA3B_exon2	83500	85959	NC_007605
EBNA-LP_exon1	14409	14410	NC_007605
EBNA-LP_exon2	14559	14619	NC_007605
EBNA-LP_exon3	14701	14832	NC_007605
EBNA-LP_exon4	17626	17691	NC_007605
EBNA-LP_exon5	17773	17904	NC_007605
EBNA-LP_exon6	20698	20763	NC_007605
EBNA-LP_exon7	20845	20976	NC_007605
EBNA-LP_exon8	23770	23835	NC_007605
EBNA-LP_exon9	23917	24048	NC_007605
EBNA-LP_exon10	26842	26907	NC_007605
EBNA-LP_exon11	26989	27120	NC_007605
EBNA-LP_exon12	29914	29979	NC_007605
EBNA-LP_exon13	30061	30192	NC_007605
EBNA-LP_exon14	32986	33051	NC_007605
EBNA-LP_exon15	33133	33264	NC_007605
EBNA-LP_exon16	35473	35505	NC_007605
EBNA-LP_exon17	35590	35694	NC_007605
EBNA3A_exon1	79955	80293	NC_007605
EBNA3A_exon2	80382	82877	NC_007605
EBNA3C_exon1	86083	86442	NC_007605
EBNA3C_exon2	86517	89135	NC_007605
BLLF1	77142	79865	NC_007605
BALF4	156291	158864	NC_007605
BXLF2	128627	130747	NC_007605
BKRF2	97670	98083	NC_007605
BBRF3	106849	108066	NC_007605
BSLF1	71969	74593	NC_007605
BALF1	164397	165059	NC_007605
BNLF2a	166846	167028	NC_007605
BNLF2b	166540	166845	NC_007605
BCRF2	12541	13692	NC_007605
BWRF1	15613	16764	NC_007605
BWRF1	18685	19836	NC_007605
BWRF1	21757	22908	NC_007605
BWRF1	24829	25980	NC_007605
BWRF1	27901	29052	NC_007605
BWRF1	30973	32124	NC_007605
BWRF1	34045	35196	NC_007605
BSLF2_BMLF1_exon1	70455	71833	NC_007605
BSLF2_BMLF1_exon2	71940	72000	NC_007605
BPLF1	49790	59239	NC_007605
LF1	150285	151694	NC_007605
LF2	149035	150324	NC_007605
LF3	140570	143344	NC_007605
LMP1_exon1	167702	168507	NC_007605
LMP1_exon2	168584	168670	NC_007605
LMP1_exon3	168749	169016	NC_007605
BcLF1	121033	125178	NC_007605
BALF2	160926	164312	NC_007605
BILF1	151703	152641	NC_007605
BILF2	137490	138236	NC_007605
BARF0	159121	160536	NC_007605
BBLF2-BBLF3_exon1	104493	105098	NC_007605
BBLF2-BBLF3_exon2	105227	106792	NC_007605
BKRF4	98846	99499	NC_007605
BLLF2	77279	77725	NC_007605
BLRF2	76637	77125	NC_007605
BRRF1	92894	93826	NC_007605
BRRF2	94014	95627	NC_007605
BZLF2	89157	89828	NC_007605
BORF1	62950	64044	NC_007605
BDLF1	120112	121017	NC_007605
BBLF4	99542	101971	NC_007605
BDLF3	118074	118778	NC_007605
BLRF1	76259	76567	NC_007605
BNRF1	1736	5692	NC_007605
BBLF1	108459	108686	NC_007605
BORF2	64119	66599	NC_007605
BaRF1	66612	67520	NC_007605
RPMS1_exon1	150323	150348	NC_007605
RPMS1_exon2	155267	155552	NC_007605
BdRF1	136418	137455	NC_007605
LMP2B_exon1	59	272	NC_007605
LMP2B_exon2	360	458	NC_007605
LMP2B_exon3	540	788	NC_007605
LMP2B_exon4	871	951	NC_007605
LMP2B_exon5	1026	1196	NC_007605
LMP2B_exon6	1280	1495	NC_007605
LMP2B_exon7	1574	1680	NC_007605
BXLF1	130749	132572	NC_007605
BKRF3	98065	98832	NC_007605
BBRF1	101916	103757	NC_007605
BVRF1	133127	134839	NC_007605
